time,tradeDate,nominal,dv01,recTrader,recEndState,security,platform,buySell,cName,isVoice,won,tradedAway,tiedAway,rejected,sign,countryCode,bondType,currency,securityClass,desk,sector,maturityDate,classification,Salesperson,RMHF
22:55.0,06/09/2019,113765928.1,101017.7028,trader8,DealerExpired,security13,Bloomberg,Sell,client12,0,0,0,0,0,-1,FR,FRTR,EUR,EGB,EGB,Oct-30,01/09/2033,InfLinked,salesperson7,RealMoney
28:21.8,03/03/2019,305669940.2,643798.0879,trader8,CustomerRejected,security14,Bloomberg,Sell,client12,0,0,0,0,0,-1,US,TBOND,USD,TBOND,UST,0-2,02/05/2021,InfLinked,salesperson2,RealMoney
09:54.7,03/03/2019,2884055446,8258696.349,trader9,DoneTied,security18,Yensai,Buy,client15,0,1,0,0,0,1,GB,[NULL],GBP,IRS_GBP,EUR SWAPS,5.5-10,25/06/2039,InfLinked,salesperson6,HedgeFund
31:47.1,03/03/2019,24563467.3,10313.52347,trader10,Done,security19,Tradeweb,Receive,client16,0,1,0,0,0,-1,DE,EuroAUD,AUD,MEDIUM-TERM-NOTE,JGB,5.5-10,01/01/2021,InfLinked,salesperson4,RealMoney
20:02.5,03/03/2019,12521651.65,5257.496694,trader10,TradedAway,security19,Bloomberg,Pay,client17,0,0,1,0,0,1,DE,EuroEUR,EUR,EGB_INFLATION,INF-EMEA,Oct-30,11/02/2049,InfLinked,salesperson7,HedgeFund
06:51.3,03/03/2019,10921002841,19663152.07,trader9,CustomerExpired,security20,Yensai,Sell,client15,0,0,0,0,0,-1,DE,EuroAUD,AUD,MEDIUM-TERM-NOTE,[NULL],3.5-5.5,19/12/2020,InfLinked,salesperson8,HedgeFund
17:05.7,03/03/2019,244288497.1,216891.891,trader8,DealerRejected,security13,Bloomberg,Buy,client12,0,0,0,0,1,1,PT,PGB,EUR,EGB,EGB,3.5-5.5,31/12/2021,InfLinked,salesperson6,RealMoney
22:26.4,03/03/2019,15871817.05,33422.89843,trader8,CoveredTied,security14,Bloomberg,Buy,client12,0,0,0,0,0,1,AT,RAGB,EUR,EGB,INF-EMEA,2-3.5,18/04/2021,Floating,salesperson7,HedgeFund
31:39.4,03/03/2019,4086348775,749620.2511,trader6,CustomerRejected,security21,Yensai,Sell,client18,0,0,0,0,0,-1,JP,JGB (Reopen),JPY,JGB,JGB,3.5-5.5,07/12/2027,12m-USD-Federal Funds-H.15-OIS-COMPOUND,salesperson0,RealMoney
21:21.1,21/11/2019,39496295.52,7303.224099,trader10,TradedAwayTied,security22,Bloomberg,Sell,client17,0,0,0,1,0,-1,FI,RFGB,EUR,EGB,EGB,5.5-10,15/11/2040,EFSF,salesperson7,RealMoney
39:32.0,03/03/2019,50259394.17,4875.798053,trader8,Covered,security23,Bloomberg,Sell,client19,0,0,0,0,0,-1,AU,EuroUSD,USD,BOND,CREDIT-AEJ,5.5-10,20/12/2035,Floating,salesperson2,HedgeFund
43:35.9,03/03/2019,257943187.3,568971.0824,trader9,CoveredTied,security24,Tradeweb,Receive,client20,0,0,0,0,0,-1,JP,JTDB,JPY,JGB_BILLS,JGB,0-2,07/12/2027,Floating,salesperson7,RealMoney
27:04.9,03/03/2019,3170040625,608908.8622,trader6,Done,security25,Yensai,Receive,client21,0,1,0,0,0,-1,FR,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,19/06/2019,Floating,salesperson9,RealMoney
32:16.0,03/03/2019,33551203373,6444766.778,trader6,DoneTied,security25,Yensai,Pay,client21,0,1,0,0,0,1,PT,PGB,EUR,EGB,EGB,5.5-10,31/12/2025,Floating,salesperson8,RealMoney
37:43.7,03/03/2019,3031752232,1431445.065,trader6,TradedAway,security26,Yensai,Pay,client22,0,0,1,0,0,1,ES,EuroEUR,EUR,BOND,FBG,0-2,31/07/2021,Floating,salesperson9,RealMoney
44:26.1,03/03/2019,47845867.16,30234.70388,trader10,Done,security27,Bloomberg,Buy,client23,0,1,0,0,0,1,ES,EuroEUR,EUR,BOND,FBG,0-2,20/12/2046,Floating,salesperson2,HedgeFund
42:37.4,03/03/2019,12131101.07,5014.562051,trader11,DoneTied,security28,VOICE,Receive,client24,1,1,0,0,0,-1,JP,JGB (Reopen),JPY,JGB,JGB,0-2,20/03/2036,Floating,salesperson1,RealMoney
37:46.9,03/03/2019,22128431899,39784420.86,trader6,TradedAway,security29,Yensai,Market,client25,0,0,1,0,0,[NULL],AU,EuroUSD,USD,BOND,CREDIT-AEJ,5.5-10,22/07/2027,Floating,salesperson2,HedgeFund
34:48.1,03/03/2019,44672121.21,26463.15073,trader10,CustomerRejected,security30,Bloomberg,Receive,client23,0,0,0,0,0,-1,JP,EuroUSD,USD,BOND,[NULL],0-2,04/07/2034,Floating,salesperson7,HedgeFund
32:30.9,03/03/2019,12112449.84,7493.246427,trader10,CoveredTied,security31,Bloomberg,Receive,client23,0,0,0,0,0,-1,HK,EuroUSD,USD,BOND,CREDIT-AEJ,2-3.5,05/02/2022,3m-GBP-LIBOR-BBA,salesperson4,HedgeFund
35:52.4,03/03/2019,30792158.19,5926.037992,trader10,CustomerRejected,security2,Bloomberg,Sell,client26,0,0,0,0,0,-1,DE,EuroEUR,EUR,EGB,INF-EMEA,0-2,21/04/2026,SWED,salesperson8,HedgeFund
31:15.6,03/03/2019,47756034.78,0,trader9,DealerRejected,security32,Yensai,Pay,client15,0,0,0,0,1,1,JP,JGB (Reopen),JPY,JGB,[NULL],0-2,15/05/2045,BNG,salesperson8,HedgeFund
32:05.9,03/03/2019,66221584193,119058927.8,trader9,TradedAway,security29,Yensai,Buy,client25,0,0,1,0,0,1,SG,EuroUSD,USD,BOND,CREDIT-AEJ,5.5-10,22/07/2022,KOMMUN,salesperson5,RealMoney
29:45.5,03/03/2019,5591023.473,1076.272019,trader10,DoneTied,security2,Bloomberg,Buy,client26,0,1,0,0,0,1,IE,IRISH,EUR,EGB,EGB,Oct-30,28/09/2020,NEDWBK,salesperson3,HedgeFund
26:53.4,03/03/2019,204640521.6,359340.783,trader9,Done,security33,Yensai,Buy,client15,0,1,0,0,0,1,FR,FRTR,EUR,EGB,EGB,5.5-10,20/03/2021,KOMMUN,salesperson7,HedgeFund
50:16.3,03/03/2019,78303796.19,69341.93887,trader8,TradedAway,security34,Tradeweb,Sell,client27,0,0,1,0,0,-1,FR,FRTR,EUR,EGB,INF-EMEA,3.5-5.5,05/02/2027,KOMMUN,salesperson3,HedgeFund
37:59.0,03/03/2019,1040575908,190891.7584,trader6,Covered,security21,Yensai,Buy,client18,0,0,0,0,0,1,AU,ACGB,AUD,ACGB,$ BLOCK,3.5-5.5,01/06/2027,InfLinked,salesperson6,HedgeFund
34:30.1,03/03/2019,329801495.9,315105.0983,trader12,Done,security35,Tradeweb,Pay,client28,0,1,0,0,0,1,EU,[NULL],EUR,IRS_EUR,[NULL],2-3.5,07/12/2030,InfLinked,salesperson9,HedgeFund
41:54.1,03/03/2019,42103191.93,30608.45787,trader8,CustomerExpired,security36,Bloomberg,Buy,client29,0,0,0,0,0,1,GB,[NULL],GBP,IRS_GBP,GILTS,2-3.5,30/04/2027,InfLinked,salesperson8,RealMoney
47:49.8,03/03/2019,3436333723,601780.5796,trader6,CustomerRejected,security37,Yensai,Receive,client18,0,0,0,0,0,-1,GB,UKT,GBP,GBP_INFLATION,INF-EMEA,Oct-30,01/10/2020,InfLinked,salesperson1,RealMoney
47:00.9,03/03/2019,1188586409,117605.3713,trader8,CustomerRejected,security38,Bloomberg,Sell,client30,0,0,0,0,0,-1,AT,RAGB,EUR,EGB,EGB,30+,20/09/2042,InfLinked,salesperson6,HedgeFund
01:46.1,03/03/2019,1350398.48,2773.718478,trader10,CustomerRejected,security39,Tradeweb,Receive,client16,0,0,0,0,0,-1,LU,EuroAUD,AUD,MEDIUM-TERM-NOTE,CREDIT-AEJ,5.5-10,01/03/2022,InfLinked,salesperson5,RealMoney
04:57.3,03/03/2019,28515434.12,2504.240048,trader10,CustomerRejected,security40,Bloomberg,Pay,client31,0,0,0,0,0,1,JP,JPNCorp,JPY,BOND,[NULL],3.5-5.5,20/12/2032,InfLinked,salesperson4,RealMoney
51:41.2,03/03/2019,160656993.7,14125.19876,trader10,TradedAway,security40,Bloomberg,Sell,client31,0,0,1,0,0,-1,US,TBOND (IL),USD,TIPS-BOND,INF-AMER,Oct-30,07/09/2023,InfLinked,salesperson1,RealMoney
55:09.5,03/03/2019,444514495.4,86299.08124,trader8,TradedAwayTied,security41,Bloomberg,Sell,client32,0,0,0,1,0,-1,SG,[NULL],USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,0-2,22/03/2034,InfLinked,salesperson4,HedgeFund
15:01.0,03/03/2019,30946856.97,33684.41883,trader8,DoneTied,security42,Tradeweb,Receive,client33,0,1,0,0,0,-1,PH,EuroUSD,USD,BOND,CREDIT-AEJ,Oct-30,01/03/2024,InfLinked,salesperson6,HedgeFund
19:57.6,03/03/2019,19335417132,18511574.53,trader13,CustomerExpired,security43,VOICE,Pay,client34,1,0,0,0,0,1,DE,[NULL],GBP,MEDIUM-TERM-NOTE,FBG,2-3.5,30/11/2020,InfLinked,salesperson2,HedgeFund
26:02.5,03/03/2019,2971370879,1595843.515,trader13,Covered,security44,VOICE,Receive,client35,1,0,0,0,0,-1,FR,FRTR,EUR,EGB,EGB,3.5-5.5,01/11/2020,InfLinked,salesperson2,RealMoney
15:23.9,03/03/2019,67111727110,64286344.29,trader13,CoveredTied,security45,VOICE,Receive,client34,1,0,0,0,0,-1,SG,EuroUSD,USD,MEDIUM-TERM-NOTE,CREDIT-AEJ,Oct-30,05/03/2019,InfLinked,salesperson3,HedgeFund
10:03.8,03/03/2019,24651434701,22995065.25,trader13,DoneTied,security46,VOICE,Sell,client35,1,1,0,0,0,-1,IT,BTPS,EUR,EGB,EGB,Oct-30,07/06/2023,InfLinked,salesperson2,RealMoney
08:06.8,03/03/2019,11025555854,8104277.186,trader13,TradedAway,security47,VOICE,Receive,client35,1,0,1,0,0,-1,US,TBOND,USD,TBOND,UST,2-3.5,09/02/2022,InfLinked,salesperson9,RealMoney
34:31.2,03/03/2019,971309577.1,188561.7512,trader14,DoneTied,security48,Tradeweb,Receive,client36,0,1,0,0,0,-1,AU,EuroUSD,USD,BOND,CREDIT-AEJ,5.5-10,17/10/2022,InfLinked,salesperson9,RealMoney
31:24.2,03/03/2019,1241281671,583160.5286,trader14,Done,security49,Tradeweb,Receive,client36,0,1,0,0,0,-1,US,[NULL],USD,IrsVanilla,USD SWAPS,3.5-5.5,07/03/2019,InfLinked,salesperson0,RealMoney
41:34.5,03/03/2019,141085.8783,11.88091607,trader10,DealerExpired,security40,Bloomberg,Sell,client31,0,0,0,0,0,-1,[NULL],[NULL],JPY,IRS_JPY,[NULL],5.5-10,26/01/2027,InfLinked,salesperson3,RealMoney
26:17.2,03/03/2019,69746.88205,1.341286193,trader10,CustomerExpired,security50,Bloomberg,Receive,client37,0,0,0,0,0,-1,AU,ACGB,AUD,ACGB,JGB,3.5-5.5,22/06/2025,InfLinked,salesperson4,HedgeFund
30:27.2,03/03/2019,5685817.252,2671.212009,trader8,DealerExpired,security51,Bloomberg,Buy,client32,0,0,0,0,0,1,EU,[NULL],EUR,IRS_EUR,[NULL],2-3.5,25/05/2045,InfLinked,salesperson6,HedgeFund
44:39.7,03/03/2019,3550266.889,266.6889449,trader15,Covered,security52,VOICE,Pay,client38,1,0,0,0,0,1,US,[NULL],USD,IrsVanilla,USD SWAPS,30+,01/08/2023,InfLinked,salesperson8,HedgeFund
28:06.5,03/03/2019,10647115.47,5936.892429,trader8,CoveredTied,security53,Bloomberg,Buy,client32,0,0,0,0,0,1,GB,[NULL],GBP,IRS_GBP,GILTS,2-3.5,25/05/2048,InfLinked,salesperson1,RealMoney
30:42.5,03/03/2019,3719674.177,1024.504545,trader10,TradedAway,security54,Bloomberg,Receive,client39,0,0,1,0,0,-1,IT,BTPS,EUR,EGB,[NULL],5.5-10,06/04/2020,InfLinked,salesperson8,RealMoney
29:35.1,03/03/2019,279231.9981,542.6408496,trader10,CoveredTied,security55,Bloomberg,Pay,client39,0,0,0,0,0,1,HK,EuroUSD,USD,BOND,CREDIT-AEJ,3.5-5.5,21/04/2029,InfLinked,salesperson4,RealMoney
49:37.8,03/03/2019,3201164766,468714.9029,trader8,Covered,security56,Bloomberg,Sell,client40,0,0,0,0,0,-1,ES,EuroEUR,EUR,EGB_INFLATION,INF-EMEA,5.5-10,20/12/2021,InfLinked,salesperson7,HedgeFund
53:17.8,03/03/2019,4912236.836,2267.334414,trader10,TradedAway,security57,Bloomberg,Buy,client17,0,0,1,0,0,1,US,TBILL,USD,TBILL,UST,0-2,06/06/2019,InfLinked,salesperson6,HedgeFund
54:48.7,03/03/2019,5343662.557,2243.656748,trader10,CoveredTied,security19,Bloomberg,Pay,client17,0,0,0,0,0,1,FI,RFGB,EUR,EGB,INF-EMEA,0-2,21/10/2024,InfLinked,salesperson0,RealMoney
30:17.3,03/03/2019,63500330,2112.829162,trader10,DealerRejected,security58,Bloomberg,Buy,client41,0,0,0,0,1,1,DE,DBR,EUR,EGB,INF-EMEA,2-3.5,25/11/2024,InfLinked,salesperson2,RealMoney
44:05.1,03/03/2019,358117226.4,[NULL],trader16,TradedAway,security59,VOICE,Receive,client42,1,0,1,0,0,-1,FR,FRTR,EUR,EGB,EGB,5.5-10,30/07/2020,InfLinked,salesperson0,RealMoney
43:33.9,03/03/2019,3.82327E+11,72161422.39,trader17,DealerExpired,security60,VOICE,Sell,client43,1,0,0,0,0,-1,SG,EuroUSD,USD,BOND,CREDIT-AEJ,2-3.5,20/12/2032,InfLinked,salesperson5,HedgeFund
51:01.4,03/03/2019,35694290493,6737038.603,trader17,TradedAway,security60,VOICE,Buy,client43,1,0,1,0,0,1,SG,EuroUSD,USD,BOND,CREDIT-AEJ,2-3.5,20/12/2035,InfLinked,salesperson0,HedgeFund
00:42.9,03/03/2019,20928252.86,16927.0968,trader8,Done,security61,Bloomberg,Receive,client32,0,1,0,0,0,-1,US,[NULL],USD,IrsImm,USD SWAPS,Oct-30,20/03/2041,InfLinked,salesperson2,RealMoney
56:09.0,03/03/2019,332432150.7,61468.58636,trader10,CustomerRejected,security22,Bloomberg,Sell,client17,0,0,0,0,0,-1,US,TBOND (IL),USD,TIPS-NOTE,INF-AMER,0-2,22/03/2034,InfLinked,salesperson0,RealMoney
04:11.4,03/03/2019,29388461.1,5671.833269,trader10,CustomerRejected,security2,Bloomberg,Receive,client17,0,0,0,0,0,-1,AU,ACGB,AUD,ACGB,$ BLOCK,0-2,12/04/2019,InfLinked,salesperson5,HedgeFund
09:08.4,03/03/2019,239682294.5,110624.0776,trader10,CustomerRejected,security57,Bloomberg,Receive,client17,0,0,0,0,0,-1,DE,DBR,EUR,EGB,[NULL],Oct-30,01/03/2067,InfLinked,salesperson1,HedgeFund
40:35.2,03/03/2019,26168911.98,10987.60547,trader10,Done,security19,Bloomberg,Pay,client17,0,1,0,0,0,1,IT,BTPS,EUR,EGB,[NULL],3.5-5.5,01/12/2028,InfLinked,salesperson0,HedgeFund
48:45.4,03/03/2019,4645483.919,2745.109291,trader18,CustomerExpired,security62,VOICE,Buy,client44,1,0,0,0,0,1,BE,BGB,EUR,EGB,EGB,5.5-10,31/07/2025,InfLinked,salesperson8,HedgeFund
09:14.9,03/03/2019,6118281.159,5128.513596,trader19,CustomerRejected,security63,Tradeweb,Receive,client45,0,0,0,0,0,-1,US,[NULL],USD,IrsOis,USD SWAPS,0-2,20/04/2028,InfLinked,salesperson0,RealMoney
45:10.8,03/03/2019,195635844.1,70188.04185,trader19,Done,security64,Tradeweb,Pay,client45,0,1,0,0,0,1,GR,GGB,EUR,EGB,EGB,Oct-30,15/02/2031,InfLinked,salesperson8,RealMoney
54:28.5,03/03/2019,1060080.169,536.8341607,trader12,DealerRejected,security65,Bloomberg,Pay,client46,0,0,0,0,1,1,SA,EuroUSD,USD,BOND,EM CREDIT-EMEA,30+,17/12/2024,InfLinked,salesperson7,HedgeFund
12:50.7,03/03/2019,53304143.15,1365.62777,trader7,CoveredTied,security66,VOICE,Sell,client47,1,0,0,0,0,-1,GB,[NULL],GBP,IRS_GBP,EUR SWAPS,5.5-10,18/10/2020,InfLinked,salesperson3,RealMoney
00:11.1,03/03/2019,17613418.64,7395.389431,trader10,CustomerRejected,security19,Bloomberg,Buy,client39,0,0,0,0,0,1,US,TBOND (IL),USD,TIPS-NOTE,INF-AMER,3.5-5.5,15/03/2023,InfLinked,salesperson0,HedgeFund
54:29.8,03/03/2019,7386099.09,1333.292694,trader7,TradedAway,security67,VOICE,Pay,client48,1,0,1,0,0,1,ID,INDON,IDO,BOND,[NULL],3.5-5.5,30/07/2030,InfLinked,salesperson0,HedgeFund
06:36.8,03/03/2019,3725297.48,972.0691974,trader8,DoneTied,security48,Tradeweb,Pay,client49,0,1,0,0,0,1,GB,UKT,GBP,GILTS,GILTS,Oct-30,20/09/2023,InfLinked,salesperson4,RealMoney
11:12.1,03/03/2019,2.95073E+11,2749440.94,trader20,TradedAway,security68,VOICE,Market,client50,1,0,1,0,0,[NULL],FI,RFGB,EUR,EGB,INF-EMEA,3.5-5.5,07/01/2039,InfLinked,salesperson4,RealMoney
18:16.4,03/03/2019,7008178204,65301.12363,trader20,CustomerRejected,security69,VOICE,Buy,client50,1,0,0,0,0,1,DE,EuroEUR,EUR,EGB_INFLATION,INF-EMEA,Oct-30,01/12/2026,InfLinked,salesperson7,RealMoney
52:00.7,03/03/2019,1672847.479,413.9006107,trader7,Covered,security70,VOICE,Buy,client51,1,0,0,0,0,1,BE,BGB,EUR,EGB,EGB,5.5-10,25/10/2019,InfLinked,salesperson1,HedgeFund
53:43.6,03/03/2019,68964273.63,61227.11102,trader8,CustomerExpired,security13,Bloomberg,Buy,client12,0,0,0,0,0,1,GB,UKT,GBP,GILTS,GILTS,5.5-10,21/05/2030,InfLinked,salesperson8,RealMoney
07:24.8,03/03/2019,365240004.4,769131.7679,trader8,Covered,security14,Bloomberg,Receive,client12,0,0,0,0,0,-1,CN,EuroUSD,USD,BOND,[NULL],0-2,22/06/2038,InfLinked,salesperson8,HedgeFund
03:06.3,03/03/2019,90473077.22,90320.09344,trader21,CustomerExpired,security71,VOICE,Pay,client43,1,0,0,0,0,1,ES,SPGB,EUR,EGB,EGB,2-3.5,15/08/2021,InfLinked,salesperson0,HedgeFund
16:53.6,03/03/2019,893605223.6,892094.1983,trader21,TradedAwayTied,security71,VOICE,Sell,client43,1,0,0,1,0,-1,US,TBOND,USD,TBOND,UST,2-3.5,20/06/2019,InfLinked,salesperson7,RealMoney
07:51.7,03/03/2019,1512881652,1510323.473,trader21,TradedAwayTied,security71,VOICE,Sell,client43,1,0,0,1,0,-1,IT,BTPS,EUR,EGB,[NULL],3.5-5.5,31/03/2022,InfLinked,salesperson6,RealMoney
00:15.3,03/03/2019,98971097.78,98803.74442,trader21,DoneTied,security71,VOICE,Pay,client43,1,1,0,0,0,1,IT,BTPS,EUR,EGB,EGB,2-3.5,30/04/2027,InfLinked,salesperson3,HedgeFund
59:53.0,03/03/2019,42182608.25,2069.013611,trader22,CustomerExpired,security72,Bloomberg,Pay,client52,0,0,0,0,0,1,ES,SPGB,EUR,EGB,EGB,5.5-10,06/10/2023,InfLinked,salesperson0,HedgeFund
21:51.9,03/03/2019,96142320.33,95979.75025,trader21,Done,security71,VOICE,Pay,client43,1,1,0,0,0,1,AT,RAGB,EUR,EGB,INF-EMEA,2-3.5,23/07/2020,InfLinked,salesperson8,HedgeFund
02:26.7,03/03/2019,1377281094,1374952.206,trader21,TradedAwayTied,security71,VOICE,Sell,client43,1,0,0,1,0,-1,FR,TBILL,EUR,EGB_BILLS,EUR BILLS,0-2,22/06/2038,InfLinked,salesperson7,HedgeFund
57:11.6,03/03/2019,2311028421,2307120.63,trader21,CustomerExpired,security71,VOICE,Sell,client43,1,0,0,0,0,-1,DE,EuroGBP,GBP,MEDIUM-TERM-NOTE,FBG,5.5-10,11/12/2019,InfLinked,salesperson1,HedgeFund
09:42.4,03/03/2019,1428531155,1426115.606,trader21,CoveredTied,security71,VOICE,Receive,client43,1,0,0,0,0,-1,DE,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,05/03/2019,InfLinked,salesperson8,RealMoney
00:30.3,03/03/2019,679245189.2,678096.6321,trader21,DealerExpired,security71,VOICE,Sell,client43,1,0,0,0,0,-1,AT,RAGB,EUR,EGB,EGB,Oct-30,15/08/2041,InfLinked,salesperson1,RealMoney
59:54.1,03/03/2019,2767153920,2762474.852,trader21,Covered,security71,VOICE,Receive,client43,1,0,0,0,0,-1,GB,UKT,GBP,GILTS,GILTS,0-2,21/02/2019,InfLinked,salesperson3,RealMoney
56:08.5,03/03/2019,300836716.6,300328.0223,trader21,CoveredTied,security71,VOICE,Receive,client43,1,0,0,0,0,-1,FR,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,31/01/2029,InfLinked,salesperson4,RealMoney
10:30.4,03/03/2019,193814.121,0,trader10,CustomerExpired,security73,Bloomberg,Receive,client37,0,0,0,0,0,-1,AT,RAGB,EUR,EGB,EGB,30+,20/03/2042,InfLinked,salesperson6,RealMoney
02:10.2,03/03/2019,10027860.16,4210.422322,trader10,Done,security19,Bloomberg,Buy,client2,0,1,0,0,0,1,US,TBOND,USD,TBOND,UST,3.5-5.5,15/10/2020,InfLinked,salesperson2,HedgeFund
00:20.8,03/03/2019,44712334.46,8630.649864,trader10,CoveredTied,security2,Bloomberg,Buy,client2,0,0,0,0,0,1,BE,BGB,EUR,EGB,INF-EMEA,0-2,15/12/2020,InfLinked,salesperson7,HedgeFund
59:18.5,03/03/2019,1969583.948,380.509267,trader10,TradedAwayTied,security2,Bloomberg,Buy,client2,0,0,0,1,0,1,BE,BGB,EUR,EGB,EGB,3.5-5.5,17/12/2024,InfLinked,salesperson1,HedgeFund
03:36.3,03/03/2019,26347971.69,11673.09662,trader7,CoveredTied,security11,VOICE,Buy,client53,1,0,0,0,0,1,IT,BTPS,EUR,EGB,EGB,30+,21/02/2038,InfLinked,salesperson7,HedgeFund
17:03.3,03/03/2019,1361043.33,28.35506938,trader10,CustomerExpired,security50,Bloomberg,Sell,client37,0,0,0,0,0,-1,CN,EuroUSD,USD,BOND,[NULL],0-2,30/11/2020,InfLinked,salesperson0,RealMoney
05:26.5,03/03/2019,467574.6732,20.07989394,trader10,TradedAway,security74,Bloomberg,Sell,client37,0,0,1,0,0,-1,DE,EuroEUR,EUR,EGB,EGB,0-2,23/03/2022,InfLinked,salesperson5,RealMoney
14:52.0,03/03/2019,1134359.086,1006.358927,trader10,CoveredTied,security75,Bloomberg,Buy,client2,0,0,0,0,0,1,DE,EuroGBP,GBP,MEDIUM-TERM-NOTE,FBG,0-2,01/03/2022,InfLinked,salesperson5,RealMoney
05:11.6,03/03/2019,354531098.6,103217.1674,trader8,CustomerExpired,security76,Bloomberg,Pay,client32,0,0,0,0,0,1,DK,EuroEUR,EUR,MEDIUM-TERM-NOTE,FBG,5.5-10,31/01/2022,InfLinked,salesperson4,RealMoney
